Behavior,Count,Timestamp,Status,Position.X, Position.Y, Position.Z,MousePosition.X, MousePosition.Y,Result,
4,3,0,9,0.7699746, 0.4796464, 0.3814597,0.1019651, 0.7520971,False,
1,8,2,0,-0.15342, -0.9083065, -0.1372379,-0.6086027, 0.4183833,True,
9,7,9,9,0.5835917, -0.09409615, -0.1236749,0.5726166, -0.5058768,False,
5,2,2,0,0.5130791, -0.1064929, 0.8213336,0.4302034, -0.5634076,True,
9,0,4,7,0.2828155, 0.6189699, 0.3469611,-0.4196839, -0.6193127,False,
4,9,2,8,0.2055316, -0.8199701, 0.02909124,0.1679104, 0.8734631,True,
2,2,7,6,0.7753697, -0.1391745, 0.4211358,0.6187196, 0.1969911,False,
8,1,0,2,-0.6870906, 0.3782346, -0.1268332,-0.3229358, 0.7051033,True,
5,3,1,0,-0.6894432, 0.2687, 0.4094839,-0.07790661, -0.9255982,False,
8,4,9,6,-0.7289236, -0.5078944, -0.1086396,-0.2039983, 0.5048488,True,
8,5,2,5,-0.169262, 0.181966, 0.3257574,0.2725593, 0.8347782,False,
9,7,4,4,-0.664709, -0.3640355, -0.4624883,-0.2448684, 0.1745397,True,
7,2,8,0,-0.5578322, -0.386808, 0.4732535,-0.4135264, -0.02570208,False,
9,1,4,0,-0.06566621, 0.005228661, -0.8734803,-0.3952017, -0.0001582357,True,
0,4,2,7,0.04329794, 0.1279311, -0.4757185,-0.1825033, -0.1878331,False,
4,3,2,7,-0.3001838, 0.3621537, 0.6102018,-0.06079986, 0.04859378,True,
7,3,8,4,0.1695965, -0.6427613, 0.3469232,-0.05942069, -0.04873936,False,
9,1,5,1,0.8549756, 0.4858471, -0.09145009,0.3795726, -0.910732,True,
6,4,9,9,0.4188065, -0.3262661, 0.3695655,-0.8594539, -0.4316311,False,
2,8,9,5,-0.6998024, -0.4246109, 0.3684265,-0.6970895, -0.4888512,True,
4,9,1,7,0.5417125, 0.523007, -0.3018665,-0.9235802, -0.2615546,False,
3,6,9,4,-0.6713405, 0.05381362, -0.1663399,0.171649, 0.9823567,True,
7,7,9,0,-0.6405643, 0.6579077, -0.08799814,0.7622218, -0.3888033,False,
0,7,4,9,0.4434156, 0.2151536, 0.3169728,-0.6706042, -0.3775505,True,
1,8,9,5,-0.3879618, 0.7293676, 0.3920379,0.4825261, 0.2569564,False,
2,5,0,0,0.2246253, 0.7427772, 0.2408442,0.8504327, -0.103134,True,
8,9,0,0,-0.699912, 0.2980782, 0.2937493,-0.0321505, 0.3370142,False,
2,1,0,8,-0.007662782, 0.4286786, 0.1305322,0.2268804, -0.005509716,True,
7,1,7,4,-0.4186502, -0.5796813, 0.6254554,0.701847, 0.4343229,False,
3,8,9,2,-0.2971658, -0.4369951, -0.04532735,0.684985, -0.5998188,True,
8,8,9,6,0.4688809, -0.1399621, -0.3930452,-0.6765481, -0.05091798,False,
4,8,5,0,0.4352544, -0.726838, -0.06564923,0.1486629, -0.3125382,True,
6,4,4,5,0.7731552, -0.1440016, 0.1311243,-0.3086517, -0.1750166,False,
8,7,4,1,0.04787664, 0.3958988, -0.02616001,-0.00474444, 0.5663276,True,
4,2,0,2,0.005571286, 0.460317, -0.03228944,-0.6056668, -0.5143416,False,
2,5,6,1,0.05957719, -0.1873377, 0.3368852,-0.5658579, -0.4080639,True,
7,9,0,5,-0.2330748, 0.6088661, -0.1546427,-0.7780002, 0.4025321,False,
5,6,2,5,-0.8250018, 0.1248689, 0.139452,-0.2124304, -0.598031,True,
1,4,9,8,-0.7542728, 0.1931802, 0.2013913,0.4953023, 0.8097842,False,
6,3,3,9,0.04364335, -0.9568695, 0.08959597,-0.8777071, 0.1390469,True,
4,0,7,6,0.4413183, -0.379154, -0.5449212,-0.3897452, 0.1037567,False,
7,1,7,9,0.1122605, -0.2608204, 0.8175995,0.06413915, -0.1778328,True,
1,3,3,3,-0.5722125, 0.0702717, 0.6901759,-0.3723865, -0.5483844,False,
7,7,7,4,0.4329598, 0.1778113, -0.07091916,-0.3203823, -0.7028542,True,
9,2,5,6,0.2540878, 0.8620116, -0.02354399,0.7757795, 0.5068927,False,
2,4,9,2,0.3368045, 0.3013884, 0.3919953,0.1188574, -0.9231713,True,
5,1,3,8,-0.5387815, -0.7292492, -0.1088377,0.2296821, 0.4419443,False,
0,4,1,6,0.3260198, 0.5919968, 0.4055794,0.139683, -0.9493694,True,
1,7,5,2,-0.1181064, -0.2071561, -0.7623543,-0.1337647, -0.1329173,False,
8,9,5,9,0.1905242, -0.8608299, 0.344605,-0.1256397, -0.8642532,True,
2,1,8,8,-0.4667688, 0.6202481, 0.599524,0.596331, 0.3332152,False,
4,5,6,4,0.0288552, 0.0915231, -0.152259,0.07306267, 0.6769666,True,
8,7,7,6,0.5438812, 0.01924222, 0.5893958,0.4318849, 0.7184496,False,
2,5,9,7,0.55468, 0.691422, 0.1106974,0.2382891, 0.9504877,True,
5,7,4,4,-0.2736938, -0.7996563, -0.2985923,0.2052419, -0.7180687,False,
9,5,7,0,0.6891409, 0.06899831, 0.2690537,-0.5704812, 0.07974186,True,
8,9,8,4,0.6231264, 0.7376865, -0.001575794,0.7885041, 0.5940948,False,
7,1,6,8,0.838016, -0.1488749, 0.3799912,-0.1186828, -0.2495928,True,
1,5,1,3,-0.4314353, -0.5117615, -0.7283909,0.5418262, -0.03062754,False,
1,5,1,3,0.0473152, 0.5847676, -0.7536294,-0.6920583, 0.5927106,True,
6,0,9,0,0.5569671, 0.06283642, 0.2823862,-0.952445, -0.26199,False,
7,0,4,4,0.550114, -0.2161238, -0.56803,0.9777747, -0.06993151,True,
9,0,5,3,0.8820199, -0.00270923, 0.03303999,-0.4080022, -0.3714328,False,
3,9,4,3,-0.1967357, 0.1854838, -0.8212075,0.8522342, -0.443299,True,
2,1,2,0,0.5045428, 0.5389961, 0.5005513,-0.1258103, 0.9219018,False,
3,6,4,4,0.6258621, 0.01205053, 0.5445126,-0.3176121, 0.4503297,True,
7,6,0,6,0.09694509, 0.4993395, 0.3625537,0.1399882, 0.8583794,False,
